name,uniprot,gene_name,t2d_minus_control,t2d_minus_control_pvals,high_hba1c_minus_control,high_hba1c_minus_control_pvals
CVD3_Q9HCB6,Q9HCB6,SPON1,0.07108439285714274,0.3146822991688033,0.09797539772727282,0.6447342243044091
CVD3_Q9HCN6,Q9HCN6,GP6,,,,
CVD3_Q9HD89,Q9HD89,RETN,0.19814778571428526,0.08515576283611971,0.1893681060606065,0.34094141122605526
CVD3_Q9NPY3,Q9NPY3,CD93,-0.03529907142857169,1.0,-0.12048763257575601,0.1532732892967466
CVD3_Q9NQ76,Q9NQ76,MEPE,-0.1953910357142874,0.03938652973236575,-0.2803046969696972,0.0047063914548919564
CVD3_Q9UBR2,Q9UBR2,CTSZ,0.3365508928571428,7.852134401837863e-06,0.2762353219696969,0.003052006942545525
CVD3_Q9UM47,Q9UM47,NOTCH3,-0.12963449999999987,1.0,-0.17071321969697006,0.04531346530108938
CVD3_Q9Y275,Q9Y275,TNFSF13B,0.08312025000000034,1.0,0.027229924242424097,1.0
CVD3_Q9Y624,Q9Y624,F11R,0.3540190357142867,0.9671772264855136,0.18237085227272587,1.0
DEV_O00241,O00241,SIRPB1,,,,
DEV_O00339,O00339,MATN2,,,,
DEV_O00585,O00585,CCL21,,,,
DEV_O14773,O14773,TPP1,,,,
DEV_O43278,O43278,SPINT1,,,,
DEV_O43291,O43291,SPINT2,,,,
DEV_O43405,O43405,COCH,,,,
DEV_O43464,O43464,HTRA2,,,,
DEV_O43505,O43505,B3GNT1,,,,
DEV_O75326,O75326,SEMA7A,,,,
DEV_O95633,O95633,FSTL3,,,,
DEV_O95721,O95721,SNAP29,,,,
DEV_P00918,P00918,CA2,,,,
DEV_P00995,P00995,SPINK1,,,,
DEV_P01215,P01215,CGA,,,,
DEV_P04066,P04066,FUCA1,,,,
DEV_P04233,P04233,CD74,,,,
DEV_P05067,P05067,APP,,,,
DEV_P05556,P05556,ITGB1,,,,
DEV_P06734,P06734,FCER2,,,,
DEV_P07237,P07237,P4HB,,,,
DEV_P08118,P08118,MSMB,,,,
DEV_P08236,P08236,GUSB,,,,
DEV_P08648,P08648,ITGA5,,,,
DEV_P09619,P09619,PDGFRB,,,,
DEV_P10586,P10586,PTPRF,,,,
DEV_P11717,P11717,IGF2R,,,,
DEV_P14174,P14174,MIF,,,,
DEV_P15289,P15289,ARSA,,,,
DEV_P15291,P15291,B4GALT1,,,,
DEV_P16112,P16112,ACAN,,,,
DEV_P19256,P19256,CD58,,,,
DEV_P23280,P23280,CA6,,,,
DEV_P23284,P23284,PPIB,,,,
DEV_P24387,P24387,CRHBP,,,,
DEV_P29350,P29350,PTPN6,,,,
DEV_P30043,P30043,BLVRB,,,,
DEV_P30086,P30086,PEBP1,,,,
DEV_P31948,P31948,STIP1,,,,
DEV_P47712,P47712,PLA2G4A,,,,
DEV_P48745,P48745,NOV,,,,
DEV_P48960,P48960,CD97,,,,
DEV_P50895,P50895,BCAM,,,,
DEV_P55103,P55103,INHBC,,,,
DEV_P55808,P55808,XG,,,,
DEV_P63313,P63313,TMSB10,,,,
DEV_P78552,P78552,IL13RA1,,,,
DEV_Q02487,Q02487,DSC2,,,,
DEV_Q07108,Q07108,CD69,,,,
DEV_Q08431,Q08431,MFGE8,,,,
DEV_Q10588,Q10588,BST1,,,,
"DEV_Q11128,P21217","Q11128,P21217","FUT5,FUT3",,,,
DEV_Q14112,Q14112,NID2,,,,
DEV_Q14118,Q14118,DAG1,,,,
DEV_Q14162,Q14162,SCARF1,,,,
DEV_Q14696,Q14696,MESDC2,,,,
DEV_Q15828,Q15828,CST6,,,,
DEV_Q16363,Q16363,LAMA4,,,,
DEV_Q4KMG0,Q4KMG0,CDON,,,,
DEV_Q5KU26,Q5KU26,COLEC12,,,,
DEV_Q5VY43,Q5VY43,PEAR1,,,,
DEV_Q6GTX8,Q6GTX8,LAIR1,,,,
DEV_Q6UXG3,Q6UXG3,CD300LG,,,,
DEV_Q6UXH1,Q6UXH1,CRELD2,,,,
DEV_Q6UXH9,Q6UXH9,PAMR1,,,,
DEV_Q6YHK3,Q6YHK3,CD109,,,,
DEV_Q86T13,Q86T13,CLEC14A,,,,
DEV_Q8IWV2,Q8IWV2,CNTN4,,,,
DEV_Q8N6Q3,Q8N6Q3,CD177,,,,
DEV_Q8TCZ2,Q8TCZ2,CD99L2,,,,
DEV_Q8TDQ0,Q8TDQ0,HAVCR2,,,,
DEV_Q8TEU8,Q8TEU8,WFIKKN2,,,,
DEV_Q969Z4,Q969Z4,RELT,,,,
DEV_Q96AP7,Q96AP7,ESAM,,,,
DEV_Q96QR1,Q96QR1,SCGB3A1,,,,
DEV_Q96RD9,Q96RD9,FCRL5,,,,
DEV_Q99497,Q99497,PARK7,,,,
DEV_Q99538,Q99538,LGMN,,,,
DEV_Q99972,Q99972,MYOC,,,,
DEV_Q99983,Q99983,OMD,,,,
DEV_Q9BY76,Q9BY76,ANGPTL4,,,,
DEV_Q9NNX6,Q9NNX6,CD209,,,,
DEV_Q9NQ38,Q9NQ38,SPINK5,,,,
DEV_Q9NZV1,Q9NZV1,CRIM1,,,,
DEV_Q9UBP4,Q9UBP4,DKK3,,,,
DEV_Q9UBX1,Q9UBX1,CTSF,,,,
DEV_Q9UKJ1,Q9UKJ1,PILRA,,,,
DEV_Q9UKK9,Q9UKK9,NUDT5,,,,
DEV_Q9Y240,Q9Y240,CLEC11A,,,,
DEV_Q9Y279,Q9Y279,VSIG4,,,,
DEV_Q9Y6N7,Q9Y6N7,ROBO1,,,,
INF_O00300,O00300,TNFRSF11B,0.19139080357142824,0.06111450445403413,0.2374282575757558,0.017360654901634527
INF_O14625,O14625,CXCL11,0.2074636607142848,1.0,0.15762486742424286,1.0
INF_O14788,O14788,TNFSF11,-0.08335542857142908,1.0,-0.07671196969697114,1.0
INF_O15169,O15169,AXIN1,0.29833787500000053,1.0,0.5172976136363632,0.3463456761290601
INF_O15444,O15444,CCL25,0.012951910714285475,1.0,0.04839375000000068,1.0
INF_O43508,O43508,TNFSF12,-0.2019727499999977,0.0025089445131037656,-0.1423282196969673,0.04174206043416332
INF_O43557,O43557,TNFSF14,0.3171785000000016,0.04222208865477109,0.3279007954545454,0.04489046736852462
INF_O95630,O95630,STAMBP,0.3092494107142869,1.0,0.3630735416666653,0.8334657703008813
INF_O95750,O95750,FGF19,-0.21739742857142907,1.0,-0.015737462121211188,1.0
INF_O95760,O95760,IL33,0.029835464285714153,0.23100564081961225,-0.03173827651515149,1.0
INF_P00749,P00749,PLAU,-0.09487001785714,0.7867282849456403,-0.027985075757575473,1.0
INF_P00813,P00813,ADA,0.067949642857144,1.0,0.09898852272727332,1.0
INF_P01135,P01135,TGFA,0.13274160714285754,0.2520002625324235,0.08480570075757576,1.0
INF_P01137,P01137,TGFB1,0.19597130357143033,0.7515954368220199,0.2917350568181796,0.04112713054820646
INF_P01138,P01138,NGF,0.020651428571428765,1.0,0.005801609848484768,1.0
INF_P01374,P01374,LTA,0.008228732142857353,1.0,0.08199015151515177,0.9104510335339048
INF_P01375,P01375,TNF,0.00593705357142843,0.7186728107544064,-0.06913941287878783,1.0
INF_P01579,P01579,IFNG,-0.03570828571428575,0.7364295232609713,-0.0026014015151516467,1.0
INF_P01583,P01583,IL1A,-0.07648074999999988,1.0,-0.17298160984848499,0.7120313837048269
INF_P01732,P01732,CD8A,,,,
INF_P02778,P02778,CXCL10,0.24615108928571416,0.08222730853756437,0.16401140151515214,0.4000701204182493
INF_P03956,P03956,MMP1,0.358101410714287,0.16906304579973364,0.23548952651515265,0.8246117150399157
INF_P05112,P05112,IL4,0.30828703571428573,0.6583524652950328,0.040395340909090915,1.0
INF_P05113,P05113,IL5,0.25526708928571434,1.0,0.22971645833333332,1.0
INF_P05231,P05231,IL6,0.591236053571428,1.476561093304387e-05,0.6225054166666664,0.00022763710050067377
INF_P06127,P06127,CD5,0.17266407142857165,0.06565689445283132,0.15911981060606006,0.12243679318476881
INF_P09238,P09238,MMP10,0.24936382142857205,0.05670338705834176,0.020086439393939948,1.0
INF_P09341,P09341,CXCL1,0.2505595714285729,0.4544693270491372,0.3694073674242411,0.22203685596437195
INF_P09603,P09603,CSF1,0.12576649999999745,0.010672745204844057,0.08898250000000196,0.4181475201673274
INF_P10145,P10145,IL8,0.2599580892857132,0.0347950989843596,0.31121526515151654,0.025209465735058487
INF_P10147,P10147,CCL3,0.45567926785714263,0.000535568371541277,0.39438575757575767,0.00042910323010397945
INF_P13232,P13232,IL7,0.0930766785714292,1.0,0.08532768939394009,1.0
INF_P13236,P13236,CCL4,0.16409585714285724,1.0,0.21717446969696885,0.38050797577989187
INF_P13500,P13500,CCL2,0.16296592857142755,0.1180493634657609,0.14016827651515307,0.1975706977389006
INF_P13725,P13725,OSM,0.6425981071428568,0.0002439718148803121,0.5221037121212113,0.016758092772192774
INF_P14210,P14210,HGF,0.42308096428571496,8.635524855674144e-07,0.42951185606060704,1.6368074699734448e-06
INF_P14784,P14784,IL2RB,-0.06285526785714257,1.0,-0.04147931818181827,1.0
INF_P15018,P15018,LIF,0.141739375,0.9347794800146726,-0.006889943181818181,1.0
INF_P15692,P15692,VEGFA,0.21028357142857068,0.14152966928784866,0.2533187121212137,0.03161452904717732
INF_P20783,P20783,NTF3,-0.008333339285714114,1.0,0.024477689393938906,1.0
INF_P21583,P21583,KITLG,-0.1605901964285703,0.2582505518137769,-0.2346507196969707,0.036456019836668144
INF_P22301,P22301,IL10,0.22503071428571353,0.139968979343103,0.13313518939393942,0.32031298047942175
INF_P25942,P25942,CD40,0.25640746428571504,0.7867282849456403,0.3303904166666669,0.15411810898889028
INF_P28325,P28325,CST5,-0.13995280357142814,0.3978633284785874,-0.002240946969697788,1.0
INF_P29460,P29460,IL12B,0.21692719642857128,0.139968979343103,0.24582893939393902,0.13742705008944747
INF_P35225,P35225,IL13,-0.01835414285714286,1.0,-0.061489507575757565,1.0
INF_P39905,P39905,GDNF,0.11097171428571473,0.8374896407572747,0.18355446969696976,0.04174206043416332
INF_P42702,P42702,LIFR,0.1030539642857149,0.3179012199533886,0.16764748106060612,0.010523394720506106
INF_P42830,P42830,CXCL5,0.10119110714285817,1.0,0.23057395833333416,1.0
INF_P49771,P49771,FLT3LG,-0.04156519642857148,1.0,0.047870757575758205,1.0
INF_P50225,P50225,SULT1A1,0.2727421607142859,1.0,0.2651425568181818,1.0
INF_P50591,P50591,TNFSF10,-0.045459089285712295,1.0,-0.0479737878787887,1.0
INF_P51671,P51671,CCL11,0.2336518571428554,0.1331824592581337,0.18221874999999965,0.9974784541684732
INF_P55773,P55773,CCL23,-0.1470680535714326,0.2663332334980789,-0.203633257575758,0.06467632764696052
INF_P60568,P60568,IL2,-0.004849571428571342,1.0,-0.044886988636363645,1.0
INF_P78423,P78423,CX3CL1,-0.09967196428571334,0.5623551824385885,-0.12444124999999939,0.4712774890418595
INF_P78556,P78556,CCL20,0.601577375,0.02260649593218993,0.7515019318181821,0.008527274742810488
INF_P80075,P80075,CCL8,0.12764708928571444,1.0,0.17291507575757592,1.0
INF_P80098,P80098,CCL7,0.4216627678571432,7.852134401837863e-06,0.32606854166666643,0.0008134127355348599
INF_P80162,P80162,CXCL6,0.29843783928571277,0.3146822991688033,0.3540118939393935,0.38485173338802264
INF_P80511,P80511,S100A12,0.030922160714285107,1.0,-0.09083424242424254,1.0
INF_Q07011,Q07011,TNFRSF9,-0.016777767857142578,1.0,-0.006799053030301927,1.0
INF_Q07325,Q07325,CXCL9,0.14005205357142803,1.0,0.13550564393939357,1.0
INF_Q08334,Q08334,IL10RB,0.07508178571428559,1.0,0.16198950757575759,0.0952601761737259
INF_Q13007,Q13007,IL24,-0.025643535714285806,1.0,0.008009223484848477,1.0
INF_Q13261,Q13261,IL15RA,0.05034744642857114,1.0,0.01421761363636409,1.0
INF_Q13291,Q13291,SLAMF1,0.3179168571428561,0.00025472641108736753,0.44618346590909086,2.7272067327053372e-06
INF_Q13478,Q13478,IL18R1,0.5651647857142876,4.529502850727651e-09,0.5776543560606058,6.837137406391538e-09
INF_Q13541,Q13541,EIF4EBP1,0.3843205178571427,0.2781437340813657,0.38147115530303033,0.32209064928674136
INF_Q13651,Q13651,IL10RA,0.016385821428571035,1.0,0.07767596590909065,1.0
INF_Q14116,Q14116,IL18,0.19486757142857059,0.0901644187033675,0.2619915719696966,0.015850316757571193
INF_Q14790,Q14790,CASP8,0.11758769642857159,1.0,-0.041798920454544586,1.0
INF_Q16552,Q16552,IL17A,0.16219742857142844,0.23100564081961225,0.07944977272727283,1.0
INF_Q5T4W7,Q5T4W7,ARTN,0.05945442857142863,0.1331824592581337,0.06889831439393937,1.0
INF_Q8IXJ6,Q8IXJ6,SIRT2,0.2611259107142869,1.0,0.3143751515151525,1.0
INF_Q8N6P7,Q8N6P7,IL22RA1,-0.072390875,1.0,-0.1438911363636364,1.0
INF_Q8NF90,Q8NF90,FGF5,-0.0006663571428568993,1.0,-0.019690852272727488,1.0
INF_Q8NFT8,Q8NFT8,DNER,-0.1507242499999979,0.013159840050845193,-0.11523147727272587,0.1756279163610248
INF_Q8WWJ7,Q8WWJ7,CD6,0.08982153571428597,1.0,0.1844437121212117,0.38050797577989187
INF_Q969D9,Q969D9,TSLP,0.09379810714285712,1.0,-0.048321742424242434,1.0
INF_Q99616,Q99616,CCL13,0.293947124999999,0.1377133296207208,0.27967410984848584,0.05826614979485315
INF_Q99731,Q99731,CCL19,0.5066043214285738,0.00042964810672439595,0.41510143939393984,0.04174206043416332
INF_Q99748,Q99748,NRTN,-0.011165446428571535,1.0,-0.04455659090909081,1.0
INF_Q9BZW8,Q9BZW8,CD244,0.15996117857142877,0.9306708281176274,0.26803087121212066,0.0251575537570187
INF_Q9GZV9,Q9GZV9,FGF23,0.252178035714286,0.08181380319825286,0.2960148106060605,0.1582531862255093
INF_Q9H5V8,Q9H5V8,CDCP1,0.5097542142857137,8.801287191947257e-06,0.6586323295454553,1.970509196661485e-08
INF_Q9NRJ3,Q9NRJ3,CCL28,0.011509571428571341,1.0,0.007855189393939366,1.0
INF_Q9NSA1,Q9NSA1,FGF21,1.075968017857142,4.56036620524577e-05,1.249848749999999,8.77692295563608e-07
INF_Q9NYY1,Q9NYY1,IL20,-0.008335678571428584,1.0,0.0058717424242422656,1.0
INF_Q9NZQ7,Q9NZQ7,CD274,0.1413656785714279,0.7153831423144846,0.26608191287878746,0.27401589667744797
INF_Q9P0M4,Q9P0M4,IL17C,0.07284946428571404,0.5886225874199181,0.11863715909090922,1.0
INF_Q9UHF4,Q9UHF4,IL20RA,-0.0200995,1.0,-0.055440227272727266,1.0
IRE_O00273,O00273,DFFA,,,,
IRE_O14867,O14867,BACH1,,,,
IRE_O43597,O43597,SPRY2,,,,
IRE_O43736,O43736,ITM2A,,,,
IRE_O60449,O60449,LY75,,,,
IRE_O60880,O60880,SH2D1A,,,,
IRE_O75475,O75475,PSIP1,,,,
IRE_O76036,O76036,NCR1,,,,
IRE_O94992,O94992,HEXIM1,,,,
IRE_O95786,O95786,DDX58,,,,
IRE_P05113,P05113,IL5,,,,
IRE_P05231,P05231,IL6,,,,
IRE_P05412,P05412,JUN,,,,
IRE_P08727,P08727,KRT19,,,,
IRE_P09038,P09038,FGF2,,,,
IRE_P10747,P10747,CD28,,,,
IRE_P14317,P14317,HCLS1,,,,
IRE_P15514,P15514,"AREG,AREGB",,,,
IRE_P16278,P16278,GLB1,,,,
IRE_P16455,P16455,MGMT,,,,
IRE_P18564,P18564,ITGB6,,,,
IRE_P18627,P18627,LAG3,,,,
IRE_P19474,P19474,TRIM21,,,,
IRE_P22301,P22301,IL10,,,,
IRE_P23229,P23229,ITGA6,,,,
IRE_P27540,P27540,ARNT,,,,
IRE_P28845,P28845,HSD11B1,,,,
IRE_P30044,P30044,PRDX5,,,,
IRE_P30048,P30048,PRDX3,,,,
IRE_P34130,P34130,NTF4,,,,
IRE_P35240,P35240,NF2,,,,
IRE_P42701,P42701,IL12RB1,,,,
IRE_P48061,P48061,CXCL12,,,,
IRE_P48740,P48740,MASP1,,,,
IRE_P50135,P50135,HNMT,,,,
IRE_P51617,P51617,IRAK1,,,,
IRE_P51671,P51671,CCL11,,,,
IRE_P52294,P52294,KPNA1,,,,
IRE_P52823,P52823,STC1,,,,
IRE_P58499,P58499,FAM3B,,,,
IRE_P63241,P63241,EIF5A,,,,
IRE_P78310,P78310,CXADR,,,,
IRE_P78362,P78362,SRPK2,,,,
IRE_P78410,P78410,BTN3A2,,,,
IRE_Q00978,Q00978,IRF9,,,,
IRE_Q01151,Q01151,CD83,,,,
IRE_Q03431,Q03431,PTH1R,,,,
IRE_Q04637,Q04637,EIF4G1,,,,
IRE_Q04759,Q04759,PRKCQ,,,,
IRE_Q05084,Q05084,ICA1,,,,
IRE_Q05516,Q05516,ZBTB16,,,,
IRE_Q06830,Q06830,PRDX1,,,,
IRE_Q07065,Q07065,CKAP4,,,,
IRE_Q12933,Q12933,TRAF2,,,,
IRE_Q12968,Q12968,NFATC3,,,,
IRE_Q13241,Q13241,KLRD1,,,,
IRE_Q13490,Q13490,BIRC2,,,,
IRE_Q13574,Q13574,DGKZ,,,,
IRE_Q14203,Q14203,DCTN1,,,,
IRE_Q14435,Q14435,GALNT3,,,,
IRE_Q15517,Q15517,CDSN,,,,
IRE_Q15661,Q15661,TPSAB1,,,,
IRE_Q6DN72,Q6DN72,FCRL6,,,,
IRE_Q6EIG7,Q6EIG7,CLEC6A,,,,
IRE_Q6UXB4,Q6UXB4,CLEC4G,,,,
IRE_Q6ZUJ8,Q6ZUJ8,PIK3AP1,,,,
IRE_Q7Z6M3,Q7Z6M3,MILR1,,,,
IRE_Q8IU57,Q8IU57,IFNLR1,,,,
IRE_Q8N608,Q8N608,DPP10,,,,
IRE_Q8NHJ6,Q8NHJ6,LILRB4,,,,
IRE_Q8WTT0,Q8WTT0,CLEC4C,,,,
IRE_Q8WXI8,Q8WXI8,CLEC4D,,,,
IRE_Q92844,Q92844,TANK,,,,
IRE_Q96DB9,Q96DB9,FXYD5,,,,
IRE_Q96P31,Q96P31,FCRL3,,,,
IRE_Q96PD2,Q96PD2,DCBLD2,,,,
IRE_Q96SB3,Q96SB3,PPP1R9B,,,,
IRE_Q9BXN2,Q9BXN2,CLEC7A,,,,
IRE_Q9C035,Q9C035,TRIM5,,,,
IRE_Q9GZT9,Q9GZT9,EGLN1,,,,
IRE_Q9HCM2,Q9HCM2,PLXNA4,,,,
IRE_Q9NP99,Q9NP99,TREM1,,,,
IRE_Q9NWZ3,Q9NWZ3,IRAK4,,,,
IRE_Q9UHC6,Q9UHC6,CNTNAP2,,,,
IRE_Q9UKX5,Q9UKX5,ITGA11,,,,
IRE_Q9UMR7,Q9UMR7,CLEC4A,,,,
IRE_Q9UN19,Q9UN19,DAPP1,,,,
IRE_Q9UNE0,Q9UNE0,EDAR,,,,
IRE_Q9UQQ2,Q9UQQ2,SH2B3,,,,
IRE_Q9UQV4,Q9UQV4,LAMP3,,,,
IRE_Q9Y2J8,Q9Y2J8,PADI2,,,,
IRE_Q9Y3P8,Q9Y3P8,SIT1,,,,
MET_A6NI73,A6NI73,LILRA5,,,,
MET_NT-proBNP,NT-proBNP,NT-proBNP,,,,
MET_O00161,O00161,SNAP23,,,,
MET_O15123,O15123,ANGPT2,,,,
MET_O43240,O43240,KLK10,,,,
MET_O43827,O43827,ANGPTL7,,,,
MET_O75356,O75356,ENTPD5,,,,
MET_O75791,O75791,GRAP2,,,,
MET_O95502,O95502,NPTXR,,,,
MET_O95544,O95544,NADK,,,,
MET_O95841,O95841,ANGPTL1,,,,
MET_P00352,P00352,ALDH1A1,,,,
MET_P01222,P01222,TSHB,,,,
MET_P05089,P05089,ARG1,,,,
MET_P09104,P09104,ENO2,,,,
MET_P09417,P09417,QDPR,,,,
MET_P09467,P09467,FBP1,,,,
MET_P09525,P09525,ANXA4,,,,
MET_P09668,P09668,CTSH,,,,
MET_P12724,P12724,RNASE3,,,,
MET_P13611,P13611,VCAN,,,,
MET_P16083,P16083,NQO2,,,,
MET_P19022,P19022,CDH2,,,,
MET_P19971,P19971,TYMP,,,,
MET_P20711,P20711,DDC,,,,
MET_P21964,P21964,COMT,,,,
MET_P22466,P22466,GAL,,,,
MET_P23526,P23526,AHCY,,,,
MET_P25815,P25815,S100P,,,,
MET_P26010,P26010,ITGB7,,,,
MET_P27695,P27695,APEX1,,,,
MET_P29017,P29017,CD1C,,,,
MET_P31431,P31431,SDC4,,,,
MET_P35237,P35237,SERPINB6,,,,
MET_P35754,P35754,GLRX,,,,
MET_P40259,P40259,CD79B,,,,
MET_P40818,P40818,USP8,,,,
MET_P41236,P41236,PPP1R2,,,,
MET_P43234,P43234,CTSO,,,,
MET_P46109,P46109,CRKL,,,,
MET_P46379,P46379,BAG6,,,,
MET_P50452,P50452,SERPINB8,,,,
MET_P50995,P50995,ANXA11,,,,
MET_P51693,P51693,APLP1,,,,
MET_P51858,P51858,HDGF,,,,
MET_P52888,P52888,THOP1,,,,
MET_P98082,P98082,DAB2,,,,
MET_Q01973,Q01973,ROR1,,,,
MET_Q02790,Q02790,FKBP4,,,,
MET_Q03403,Q03403,TFF2,,,,
MET_Q04900,Q04900,CD164,,,,
MET_Q06418,Q06418,TYRO3,,,,
MET_Q13275,Q13275,SEMA3F,,,,
MET_Q15155,Q15155,NOMO1,,,,
MET_Q15846,Q15846,CLUL1,,,,
MET_Q16773,Q16773,CCBL1,,,,
MET_Q16820,Q16820,MEP1B,,,,
MET_Q641Q3,Q641Q3,METRNL,,,,
MET_Q6UWV6,Q6UWV6,ENPP7,,,,
MET_Q6WN34,Q6WN34,CHRDL2,,,,
MET_Q76M96,Q76M96,CCDC80,,,,
MET_Q86VZ4,Q86VZ4,LRP11,,,,
MET_Q8IZP9,Q8IZP9,GPR64,,,,
MET_Q8N1Q1,Q8N1Q1,CA13,,,,
MET_Q8NBJ7,Q8NBJ7,SUMF2,,,,
MET_Q8NBS9,Q8NBS9,TXNDC5,,,,
MET_Q8NI22,Q8NI22,MCFD2,,,,
MET_Q8WTU2,Q8WTU2,SRCRB4D,,,,
MET_Q8WVQ1,Q8WVQ1,CANT1,,,,
MET_Q8WX77,Q8WX77,IGFBPL1,,,,
MET_Q92520,Q92520,FAM3C,,,,
MET_Q92692,Q92692,PVRL2,,,,
MET_Q96JA1,Q96JA1,LRIG1,,,,
MET_Q96LA6,Q96LA6,FCRL1,,,,
MET_Q9BQB4,Q9BQB4,SOST,,,,
MET_Q9BYZ8,Q9BYZ8,REG4,,,,
MET_Q9BZR6,Q9BZR6,RTN4R,,,,
MET_Q9GZM7,Q9GZM7,TINAGL1,,,,
MET_Q9H4D0,Q9H4D0,CLSTN2,,,,
MET_Q9H6B4,Q9H6B4,CLMP,,,,
MET_Q9HBB8,Q9HBB8,CDHR5,,,,
MET_Q9NPH0,Q9NPH0,ACP6,,,,
MET_Q9NQX5,Q9NQX5,NPDC1,,,,
MET_Q9NR28,Q9NR28,DIABLO,,,,
MET_Q9NWQ8,Q9NWQ8,PAG1,,,,
MET_Q9NY25,Q9NY25,CLEC5A,,,,
MET_Q9UBU3,Q9UBU3,GHRL,,,,
MET_Q9UHL4,Q9UHL4,DPP7,,,,
MET_Q9UHX3,Q9UHX3,EMR2,,,,
MET_Q9UKJ0,Q9UKJ0,PILRB,,,,
MET_Q9Y286,Q9Y286,SIGLEC7,,,,
MET_Q9Y5K6,Q9Y5K6,CD2AP,,,,
NEU1_O00214,O00214,LGALS8,,,,
NEU1_O14594,O14594,NCAN,,,,
NEU1_O14793,O14793,MSTN,,,,
NEU1_O15197,O15197,EPHB6,,,,
NEU1_O15232,O15232,MATN3,,,,
NEU1_O43155,O43155,FLRT2,,,,
NEU1_O43157,O43157,PLXNB1,,,,
NEU1_O43561,O43561,LAT,,,,
NEU1_O60462,O60462,NRP2,,,,
NEU1_O60609,O60609,GFRA3,,,,
NEU1_O75077,O75077,ADAM23,,,,
NEU1_O75509,O75509,TNFRSF21,,,,
NEU1_O94779,O94779,CNTN5,,,,
NEU1_O95185,O95185,UNC5C,,,,
NEU1_O95727,O95727,CRTAM,,,,
NEU1_P01138,P01138,NGF,,,,
NEU1_P04216,P04216,THY1,,,,
NEU1_P08473,P08473,MME,,,,
NEU1_P09919,P09919,CSF3,,,,
NEU1_P10636,P10636,MAPT,,,,
NEU1_P12544,P12544,GZMA,,,,
NEU1_P12644,P12644,BMP4,,,,
NEU1_P14384,P14384,CPM,,,,
NEU1_P15151,P15151,PVR,,,,
NEU1_P15311,P15311,EZR,,,,
NEU1_P15509,P15509,CSF2RA,,,,
NEU1_P16234,P16234,PDGFRA,,,,
NEU1_P17405,P17405,SMPD1,,,,
NEU1_P21757,P21757,MSR1,,,,
NEU1_P22223,P22223,CDH3,,,,
NEU1_P25774,P25774,CTSS,,,,
NEU1_P28907,P28907,CD38,,,,
"NEU1_P29460,P29459","P29460,P29459","IL12B,IL12A",,,,
NEU1_P30533,P30533,LRPAP1,,,,
NEU1_P37023,P37023,ACVRL1,,,,
NEU1_P39905,P39905,GDNF,,,,
NEU1_P41217,P41217,CD200,,,,
NEU1_P41271,P41271,NBL1,,,,
NEU1_P48052,P48052,CPA2,,,,
NEU1_P52798,P52798,EFNA4,,,,
NEU1_P53634,P53634,CTSC,,,,
NEU1_P55145,P55145,MANF,,,,
NEU1_P55285,P55285,CDH6,,,,
NEU1_P56159,P56159,GFRA1,,,,
NEU1_P57087,P57087,JAM2,,,,
NEU1_P78333,P78333,GPC5,,,,
NEU1_Q01344,Q01344,IL5RA,,,,
NEU1_Q02083,Q02083,NAAA,,,,
NEU1_Q08345,Q08345,DDR1,,,,
NEU1_Q08629,Q08629,SPOCK1,,,,
NEU1_Q08708,Q08708,CD300C,,,,
NEU1_Q14108,Q14108,SCARB2,,,,
NEU1_Q16288,Q16288,NTRK3,,,,
NEU1_Q16620,Q16620,NTRK2,,,,
NEU1_Q16719,Q16719,KYNU,,,,
NEU1_Q16775,Q16775,HAGH,,,,
NEU1_Q2MKA7,Q2MKA7,RSPO1,,,,
NEU1_Q2TAL6,Q2TAL6,VWC2,,,,
NEU1_Q2VWP7,Q2VWP7,PRTG,,,,
NEU1_Q6ISS4,Q6ISS4,LAIR2,,,,
NEU1_Q6NW40,Q6NW40,RGMB,,,,
NEU1_Q6UX15,Q6UX15,LAYN,,,,
NEU1_Q6ZMJ2,Q6ZMJ2,SCARA5,,,,
NEU1_Q8IUN9,Q8IUN9,CLEC10A,,,,
NEU1_Q8N126,Q8N126,CADM3,,,,
NEU1_Q8NBI3,Q8NBI3,DRAXIN,,,,
NEU1_Q8NFP4,Q8NFP4,MDGA1,,,,
NEU1_Q8TD46,Q8TD46,CD200R1,,,,
NEU1_Q8TDQ1,Q8TDQ1,CD300LF,,,,
NEU1_Q92752,Q92752,TNR,,,,
NEU1_Q92765,Q92765,FRZB,,,,
NEU1_Q92823,Q92823,NRCAM,,,,
NEU1_Q96B86,Q96B86,RGMA,,,,
NEU1_Q96GP6,Q96GP6,SCARF2,,,,
NEU1_Q96GW7,Q96GW7,BCAN,,,,
NEU1_Q96LA5,Q96LA5,FCRL2,,,,
NEU1_Q96NZ8,Q96NZ8,WFIKKN1,,,,
NEU1_Q9BS40,Q9BS40,LXN,,,,
NEU1_Q9BZM5,Q9BZM5,ULBP2,,,,
NEU1_Q9BZZ2,Q9BZZ2,SIGLEC1,,,,
NEU1_Q9H3S3,Q9H3S3,TMPRSS5,,,,
NEU1_Q9H3U7,Q9H3U7,SMOC2,,,,
NEU1_Q9HAN9,Q9HAN9,NMNAT1,,,,
NEU1_Q9HAV5,Q9HAV5,EDA2R,,,,
NEU1_Q9HCK4,Q9HCK4,ROBO2,,,,
