index,CHEMBL,KEGG,PUBCHEM,high_hba1c_minus_control,high_hba1c_minus_control_pvals
"5alpha-pregnan-3beta-ol,20-one sulfate",,,,,
4-hydroxycoumarin,CHEMBL301141,C20414,54682930.0,,
1-docosahexaenoyl-GPE (22:6)*,,,,,
1-docosapentaenoyl-GPC (22:5n3)*,,,,,
pregnenediol sulfate (C21H34O5S)*,,,,,
2-hydroxyglutarate,CHEMBL4870693,C02630,43.0,,
gamma-CEHC,CHEMBL2151598,,133098.0,,
N-acetyl-beta-alanine,,C01073,76406.0,,
"sphingomyelin (d18:1/18:1, d18:2/18:0)",,,6443882.0,,
palmitoyl sphingomyelin (d18:1/16:0),CHEMBL4526394,,9939941.0,,
3-hydroxyhippurate,CHEMBL447627,,450268.0,,
16a-hydroxy DHEA 3-sulfate,,,,,
17alpha-hydroxypregnenolone 3-sulfate,,,152971.0,,
pregnenolone sulfate,CHEMBL1179605,,105074.0,,
andro steroid monosulfate C19H28O6S (1)*,,C04555,,,
betonicine,,C08269,164642.0,,
ergothioneine,,C05570,3032311.0,,
1-margaroyl-GPE (17:0)*,,,,,
1-pentadecanoyl-GPC (15:0)*,,,,,
S-methylmethionine,CHEMBL2111021,C05319,458.0,,
indole-3-carboxylate,CHEMBL387527,C19837,69867.0,,
13-HODE + 9-HODE,,,43013.0,,
tridecenedioate (C13:1-DC)*,,,,,
N-acetyl-3-methylhistidine*,,,193270.0,,
4-cholesten-3-one,CHEMBL63243,C00599,91477.0,,
N-acetyl-cadaverine,,,189087.0,,
cinnamoylglycine,CHEMBL456606,,709625.0,,
cis-4-decenoylcarnitine (C10:1),,,,,
phenylalanylphenylalanine,CHEMBL55868,,6993090.0,,
S-carboxymethyl-L-cysteine,CHEMBL1447969,C03727,1080.0,,
(16 or 17)-methylstearate (a19:0 or i19:0),,,3083779.0,,
1-hydroxy-2-naphthalenecarboxylate,CHEMBL229299,C03203,6844.0,,
alpha-ketoglutaramate*,,,48.0,,
metformin,CHEMBL1431,C07151,4091.0,,
ibuprofen acyl glucuronide,CHEMBL3526740,,163959.0,,
"2,3-dihydroxyisovalerate",,C04039,677.0,,
3-methylglutaconate,CHEMBL1401952,,1551553.0,,
5-(galactosylhydroxy)-L-lysine,,,123986.0,,
isoursodeoxycholate,CHEMBL1233687,C17662,127601.0,,
oxypurinol,,D02365,4644.0,,
hydantoin-5-propionate,,C05565,782.0,,
sulfate*,CHEMBL572964,C00059,1118.0,,
4-hydroxy-2-oxoglutaric acid,,C01127,599.0,,
4-hydroxyglutamate,,C03079,439902.0,,
L-urobilin,,C05793,5280818.0,,
hydroxycotinine,,,10219774.0,,
cotinine N-oxide,CHEMBL3544793,,9815514.0,,
omeprazole,CHEMBL1503,C07324,4594.0,,
atenolol,CHEMBL24,D00235,2249.0,,
diphenhydramine,CHEMBL657,C06960,3100.0,,
hydrochlorothiazide,CHEMBL435,C07041,3639.0,,
ranitidine,CHEMBL512,D00422,3001055.0,,
S-methylcysteine,CHEMBL394875,,24417.0,,
androsterone glucuronide,,C11135,114833.0,,
argininate*,,,160437.0,,
solanidine,CHEMBL1980466,C06543,65727.0,,
2-oxoarginine*,,C03771,558.0,,
cis-4-decenoate (10:1n6)*,,,5312351.0,,
sertraline,CHEMBL809,C07246,68617.0,,
gabapentin,CHEMBL940,D00332,3446.0,,
venlafaxine,CHEMBL637,C07187,5656.0,,
ethyl glucuronide,,,152226.0,,
1-erucoyl-GPC (22:1)*,,,,,
1-adrenoyl-GPC (22:4)*,,,,,
1-lignoceroyl-GPC (24:0),,,,,
1-nervonoyl-GPC (24:1n9)*,,,,,
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,,,10917802.0,,
1-(1-enyl-oleoyl)-GPC (P-18:1)*,,,,,
1-(1-enyl-stearoyl)-GPC (P-18:0)*,,,,,
1-methyl-5-imidazoleacetate,,,6451814.0,,
glycoursodeoxycholate,CHEMBL409348,,12310288.0,,
S-methylcysteine sulfoxide,,,82142.0,,
eicosanedioate (C20-DC),,,75502.0,,
docosadioate (C22-DC),,C19625,244872.0,,
16-hydroxypalmitate,CHEMBL4281719,C18218,10466.0,,
quinine,CHEMBL601807,,2728270.0,,
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],,,,,
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],,,,,
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,,,,,
1-(1-enyl-stearoyl)-GPE (P-18:0)*,,,,,
2-stearoyl-GPI (18:0)*,,,,,
doxycycline,,,,,
alpha-CEHC glucuronide*,,,134819285.0,,
2-oxindole-3-acetate,CHEMBL443641,,3080590.0,,
N-oleoyltaurine,,,6437033.0,,
linoleoylcarnitine (C18:2)*,,,6450015.0,,
isoleucylalanine,,,5246009.0,,
isoleucylglycine,,,342532.0,,
phenylalanylleucine,,,4078229.0,,
tryptophylleucine,,,323786.0,,
valylleucine,,,352039.0,,
N-stearoyltaurine,,,168274.0,,
carboxyethyl-GABA,,,2572.0,,
beta-citrylglutamate,,C20775,72715786.0,,
trimethylamine N-oxide,,C01104,1145.0,,
equol sulfate,,,,,
dihydroferulate,CHEMBL387842,,14340.0,,
imidazole propionate,CHEMBL84253,,70630.0,,
paroxetine,CHEMBL1708,"D02362,C07415",43815.0,,
citalopram/escitalopram,CHEMBL1508,D07913,146570.0,,
pregnanediol-3-glucuronide,,,123796.0,,
alliin,CHEMBL464166,C08265,87310.0,,
threonylalanine,,,18218243.0,,
phenylalanylmethionine,CHEMBL1221998,,7010506.0,,
phenylalanyltryptophan,,,134906.0,,
valylglycine,,,136487.0,,
methionylalanine,,,,,
prolylalanine,,,418041.0,,
prolylglycine,CHEMBL59426,,6426709.0,,
N-palmitoylglycine,CHEMBL226117,,151008.0,,
succinimide,CHEMBL275661,C07273,11439.0,,
norfluoxetine,CHEMBL1494,,4541.0,,
lanthionine,,,98504.0,,
2-stearoyl-GPE (18:0)*,,,,,
(R)-3-hydroxybutyrylcarnitine,,,53481617.0,,
diltiazem,CHEMBL23,C06958,39186.0,,
N-acetylcarnosine,CHEMBL4303521,,9903482.0,,
margaroylcarnitine (C17)*,,,,,
N-methyltaurine,CHEMBL3306207,,7882.0,,
glycohyocholate,,,,,
retinal,CHEMBL81379,C00376,638015.0,,
2-hydroxydecanoate,,,21488.0,,
3-methyl catechol sulfate (2),,,,,
4-methylcatechol sulfate,,,,,
3-methyl catechol sulfate (1),,,,,
2-hydroxyibuprofen,CHEMBL3544495,,10443535.0,,
carboxyibuprofen,CHEMBL3544650,,10444113.0,,
O-desmethylvenlafaxine,CHEMBL1118,D07793,125017.0,,
warfarin,,C01541,,,
hydroxypioglitazone (M-IV),,,,,
3b-hydroxy-5-cholenoic acid,CHEMBL169264,,92997.0,,
guaiacol sulfate,,,22473.0,,
2-aminooctanoate,,,69522.0,,
gamma-CEHC glucuronide*,,,,,
2-piperidinone,CHEMBL12193,,12665.0,,
N-acetyl-1-methylhistidine*,,,53859791.0,,
indolin-2-one,CHEMBL40823,C12312,321710.0,,
"2,8-quinolinediol sulfate",,,,,
2-aminophenol sulfate,,,181670.0,,
3-acetylphenol sulfate,,,,,
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",,,11433862.0,,
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",,,,,
6-oxopiperidine-2-carboxylate,CHEMBL4648450,,3014237.0,,
S-allylcysteine,CHEMBL1592541,,98280.0,,
N-delta-acetylornithine,,,9920500.0,,
acisoga,,,129397.0,,
2-aminoheptanoate,,,227939.0,,
1-eicosapentaenoyl-GPE (20:5)*,,,,,
benzoylcarnitine*,,,,,
"N2,N5-diacetylornithine",CHEMBL3989425,,65977.0,,
3-methoxytyramine sulfate,,,,,
methionine sulfone,,,69961.0,,
cyclo(ala-pro),,,6428987.0,,
1-linolenoyl-GPC (18:3)*,,,,,
1-eicosapentaenoyl-GPC (20:5)*,,,,,
1-eicosenoyl-GPC (20:1)*,,,,,
N-acetylalliin,,,,,
1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,,,,,
1-(1-enyl-oleoyl)-GPE (P-18:1)*,,,,,
O-sulfo-L-tyrosine,CHEMBL1236077,,514186.0,,
ferulic acid 4-sulfate,CHEMBL2009479,,6305574.0,,
3-(3-hydroxyphenyl)propionate sulfate,,,187488.0,,
11-ketoetiocholanolone glucuronide,,,,,
etiocholanolone glucuronide,,,270605.0,,
17alpha-hydroxypregnanolone glucuronide,,,,,
N-acetyltaurine,,,159864.0,,
1-docosapentaenoyl-GPC (22:5n6)*,,,,,
1-linolenoyl-GPE (18:3)*,,,,,
1-oleoyl-GPG (18:1)*,,,,,
1-palmitoyl-GPG (16:0)*,,,3300276.0,,
N-acetyl-S-allyl-L-cysteine,,,152467.0,,
9-hydroxystearate,CHEMBL1093742,,9570127.0,,
3-methylglutarylcarnitine (2),,,128145.0,,
methyl glucopyranoside (alpha + beta),,,,,
alpha-CEHC sulfate,,,,,
alpha-CMBHC glucuronide,,,,,
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",,,,,
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",,,,,
octadecenedioylcarnitine (C18:1-DC)*,,,,,
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",,,,,
myristoleoylcarnitine (C14:1)*,,,90659872.0,,
N-formylphenylalanine,,,759256.0,,
cyclo(pro-val),,,98951.0,,
4-hydroxychlorothalonil,CHEMBL3248146,,34217.0,,
isoeugenol sulfate,,,,,
tyramine O-sulfate,CHEMBL4764181,,153005.0,,
3-hydroxypyridine sulfate,,,,,
maltol sulfate,,,,,
phenylacetylcarnitine,,,101724840.0,,
arabonate/xylonate,,,,,
methyl-4-hydroxybenzoate sulfate,,,,,
1-dihomo-linolenylglycerol (20:3),,,,,
4-vinylguaiacol sulfate,,,,,
vanillactate,CHEMBL1765649,,160637.0,,
eugenol sulfate,,,180632.0,,
pregnanolone/allopregnanolone sulfate,,,,,
2-methoxyresorcinol sulfate,,,,,
2-acetamidophenol sulfate,,,181671.0,,
p-cresol glucuronide*,,,154035.0,,
acesulfame,CHEMBL176687,,36573.0,,
valsartan,CHEMBL1904197,,5650.0,,
6-hydroxyindole sulfate,,,122198196.0,,
propyl 4-hydroxybenzoate sulfate,,,,,
umbelliferone sulfate,CHEMBL1555500,,129659.0,,
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",,,,,
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",,,,,
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",,,,,
behenoyl sphingomyelin (d18:1/22:0)*,,,,,
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",,,,,
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",,,,,
lignoceroyl sphingomyelin (d18:1/24:0),,,,,
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",,,,,
dopamine 4-sulfate,,C13691,123932.0,,
dopamine 3-O-sulfate,,C13690,122136.0,,
daidzein sulfate (2),,,12114465.0,,
3-hydroxyhexanoate,,,151492.0,,
3beta-hydroxy-5-cholestenoate,,C17333,165511.0,,
"1,2,3-benzenetriol sulfate (1)",,,,,
"1,2,3-benzenetriol sulfate (2)",,,,,
3-methoxycatechol sulfate (1),,,,,
N-acetylkynurenine (2),,,,,
C-glycosyltryptophan,,,10981970.0,,
tramadol,CHEMBL1066,C07153,33741.0,,
alpha-hydroxymetoprolol,CHEMBL3544701,,114962.0,,
arabitol/xylitol,CHEMBL3137744,C01904,6912.0,,
N-acetylglucosamine/N-acetylgalactosamine,CHEMBL447878,,24139.0,,
adipoylcarnitine (C6-DC),,,71296139.0,,
nonanoylcarnitine (C9),,,,,
suberoylcarnitine (C8-DC),,,,,
glycochenodeoxycholate 3-sulfate,,,,,
glycodeoxycholate 3-sulfate,,,,,
taurodeoxycholic acid 3-sulfate,,,,,
"trans-3,4-methyleneheptanoate",,,,,
linoleoyl ethanolamide,CHEMBL149859,,5283446.0,,
"1,2-dilinoleoyl-GPC (18:2/18:2)",,,5288075.0,,
1-stearoyl-2-oleoyl-GPC (18:0/18:1),,,,,
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),,,10747814.0,,
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),,,6441886.0,,
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),,,,,
1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),,,,,
1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),,,,,
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),,,,,
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",,,,,
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),,,,,
2-hydroxybutyrate/2-hydroxyisobutyrate,,,,,
2-methylcitrate/homocitrate,,,,,
oleate/vaccenate (18:1),,,,,
isoleucylleucine/leucylisoleucine,,,,,
pregabalin,CHEMBL88034,,4715169.0,,
leucylphenylalanine/isoleucylphenylalanine,,,,,
1-palmitoleoylglycerol (16:1)*,,,,,
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,,,9939965.0,,
tricosanoyl sphingomyelin (d18:1/23:0)*,,,,,
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",,,,,
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",,,,,
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,,,9546749.0,,
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),,,5289133.0,,
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,,,,,
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,,,,,
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,,,,,
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,,,9546800.0,,
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,,,9546799.0,,
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,,,9546798.0,,
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,,,,,
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),,,,,
gamma-tocopherol/beta-tocopherol,,,,,
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,,,9547058.0,,
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,,,5283497.0,,
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,,,,,
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,,,,,
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,,,,
1-(1-enyl-palmitoyl)-2-dihomo-linolenoyl-GPC (P-16:0/20:3)*,,,,,
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,,,,,
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*,,,,,
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,,,,,
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,,,,,
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*,,,,,
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*,,,,,
1-palmityl-2-oleoyl-GPC (O-16:0/18:1)*,,,,,
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,CHEMBL1482996,,6443139.0,,
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",,,,,
behenoyl dihydrosphingomyelin (d18:0/22:0)*,,,,,
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",,,,,
N-palmitoyl-sphinganine (d18:0/16:0),,,5283572.0,,
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),,,,,
cetirizine,CHEMBL1000,C07778,2678.0,,
1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*,,,,,
1-margaroyl-2-oleoyl-GPC (17:0/18:1)*,,,,,
1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*,,,,,
myristoyl dihydrosphingomyelin (d18:0/14:0)*,,,,,
7-hydroxyindole sulfate,,,,,
phenylacetylglutamate,CHEMBL3884214,,11579826.0,,
4-ethylphenol glucuronide,,,,,
1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,,,,,
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,,,9543695.0,,
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,,,,,
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,,,,,
1-stearoyl-2-docosahexaenoyl-GPI (18:0/22:6)*,,,,,
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,,,,,
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,,,9546753.0,,
1-linoleoyl-GPA (18:2)*,,,,,
1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,,,,,
1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,,,,,
1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,,,,,
1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*,,,,,
1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)*,,,,,
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,,,,,
1-linoleoyl-2-docosahexaenoyl-GPC (18:2/22:6)*,,,,,
1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*,,,6443157.0,,
1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)*,,,,,
1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*,,,,,
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,,,,,
1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*,,,,,
1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*,,,,,
1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)*,,,,,
1-palmitoyl-2-adrenoyl-GPC (16:0/22:4)*,,,,,
1-stearoyl-2-adrenoyl-GPC (18:0/22:4)*,,,,,
1-stearyl-GPC (O-18:0)*,CHEMBL475587,,2733532.0,,
1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3)*,,,,,
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,,,,,
1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16:0/14:0)*,,,,,
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,,,11146967.0,,
"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*",,,,,
"phosphatidylcholine (18:0/20:5, 16:0/22:5n6)*",,,,,
1-palmitoyl-2-docosahexaenoyl-GPI (16:0/22:6)*,,,,,
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,,,,,
1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)*,,,,,
1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*,,,,,
1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,,,,,
"1,2-dilinoleoyl-GPE (18:2/18:2)*",,,9546812.0,,
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,,,,,
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,,,,,
1-linoleoyl-GPG (18:2)*,,,,,
thioproline,CHEMBL1235440,,93176.0,,
palmitoylcholine,,,151731.0,,
"trans-3,4-methyleneheptanoylcarnitine",,,,,
mycophenolic acid,CHEMBL866,"C20380,D05096",446541.0,,
glycocholate glucuronide (1),,,,,
glycochenodeoxycholate glucuronide (1),,,,,
(S)-3-hydroxybutyrylcarnitine,,,,,
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),,,,,
methylsuccinoylcarnitine,,,,,
catechol glucuronide,,,75124209.0,,
sulfamethoxazole,CHEMBL443,"D00285,C07315,D00447",5329.0,,
oleoylcholine,,,,,
arachidonoylcholine,,,,,
docosahexaenoylcholine,,,,,
dihomo-linolenoyl-choline,,,,,
caffeic acid sulfate,,,,,
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,,,,,
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,,,,,
"phosphatidylcholine (14:0/14:0, 16:0/12:0)",,,,,
"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)*",,,,,
1-oleoyl-2-dihomo-linoleoyl-GPC (18:1/20:2)*,,,,,
"phosphatidylcholine (18:0/20:2, 20:0/18:2)*",,,,,
1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)*,,,,,
1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-GPE (P-18:0/20:3)*,,,,,
lamotrigine,CHEMBL741,D00354,3878.0,,
hexadecadienoate (16:2n6),,,13932172.0,,
palmitoleoylcarnitine (C16:1)*,,,71464547.0,,
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),,,,,
4-hydroxyphenylacetylglutamine,,,,,
"2,3-dihydroxy-2-methylbutyrate",,,301941.0,,
2'-O-methylcytidine,CHEMBL176605,,150971.0,,
2'-O-methyluridine,,,102212.0,,
gamma-glutamyl-alpha-lysine,,,65254.0,,
palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,,C13861,,,
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,,C13861,,,
oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,,,,,
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,,,,,
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,,,,,
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,,,,,
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,,,,,
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,,,,,
"diacylglycerol (14:0/18:1, 16:0/16:1) [1]*",,,,,
"diacylglycerol (14:0/18:1, 16:0/16:1) [2]*",,,,,
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,,,,,
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,,,,,
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",,,,,
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,,,,,
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,,,,,
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,,,,,
perfluorooctanesulfonate (PFOS),CHEMBL1876554,C18142,74483.0,,
1-palmityl-GPE (O-16:0)*,,,,,
1-palmityl-2-stearoyl-GPC (O-16:0/18:0)*,,,11803170.0,,
1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*,,,145911.0,,
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,,,,,
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,,,,,
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*,,,,,
1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,,,,,
1-(1-enyl-stearoyl)-2-docosapentaenoyl-GPE (P-18:0/22:5n3)*,,,,,
1-palmitoleoyl-2-eicosapentaenoyl-GPC (16:1/20:5)*,,,,,
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*,,,,,
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,,,,,
N-behenoyl-sphingadienine (d18:2/22:0)*,,,,,
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*,,,,,
N-palmitoylserine,,,6453686.0,,
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*,,,,,
myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*,,,,,
"phosphatidylethanolamine (P-18:1/20:4, P-16:0/22:5n3)*",,,,,
1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))*,,,,,
"ceramide (d16:1/24:1, d18:1/22:1)*",,,,,
"ceramide (d18:1/14:0, d16:1/16:0)*",,,,,
"ceramide (d18:1/17:0, d17:1/18:0)*",,,,,
"ceramide (d18:2/24:1, d18:1/24:2)*",,,,,
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",,,,,
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",,,,,
stearoylcholine*,,,,,
linoleoylcholine*,,,,,
trazadone,CHEMBL621,"C07156,D08626",5533.0,,
"sphingomyelin (d18:0/20:0, d16:0/22:0)*",,,,,
"sphingomyelin (d18:1/19:0, d19:1/18:0)*",,,,,
sphingomyelin (d18:2/18:1)*,,,,,
sphingomyelin (d18:2/24:2)*,,,,,
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",,,,,
sphingomyelin (d18:2/23:1)*,,,,,
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",,,,,
"sphingomyelin (d17:2/16:0, d18:2/15:0)*",,,,,
dexlansoprazole,CHEMBL1201863,D08903,9578005.0,,
linolenoylcarnitine (C18:3)*,,,,,
behenoylcarnitine (C22)*,,,,,
arachidoylcarnitine (C20)*,,,,,
lignoceroylcarnitine (C24)*,,,,,
cerotoylcarnitine (C26)*,,,,,
ximenoylcarnitine (C26:1)*,,,,,
arachidonoylcarnitine (C20:4),,,,,
eicosenoylcarnitine (C20:1)*,,,,,
dihomo-linoleoylcarnitine (C20:2)*,,,,,
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,,,,,
erucoylcarnitine (C22:1)*,,,,,
docosahexaenoylcarnitine (C22:6)*,,,,,
nervonoylcarnitine (C24:1)*,,,,,
adrenoylcarnitine (C22:4)*,,,,,
docosapentaenoylcarnitine (C22:5n3)*,,,,,
levetiracetam,CHEMBL1286,"D00709,C07841",5284583.0,,
1-lignoceroyl-2-arachidonoyl-GPC (24:0/20:4)*,,,,,
"N,N,N-trimethyl-5-aminovalerate",CHEMBL3234375,,14274897.0,,
ethyl alpha-glucopyranoside,,,428040.0,,
carotene diol (1),,,,,
carotene diol (2),,,,,
carotene diol (3),,,,,
cortolone glucuronide (1),,,,,
(N(1) + N(8))-acetylspermidine,CHEMBL176800,C00612,496.0,,
5-dodecenoylcarnitine (C12:1),,,,,
2-butenoylglycine,,,6303498.0,,
hydroxy-CMPF*,,,,,
trans-2-hexenoylglycine,,,,,
dodecenedioate (C12:1-DC)*,,,,,
hexadecenedioate (C16:1-DC)*,,,,,
octadecenedioate (C18:1-DC),,,,,
octadecadienedioate (C18:2-DC)*,,,,,
glucuronide of C19H28O4 (2)*,,,,,
glucuronide of C10H18O2 (1)*,,,,,
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**,CHEMBL4097863,,194501.0,,
glucuronide of C10H18O2 (7)*,,,,,
3-hydroxystachydrine*,,,442640.0,,
N-acetyl-2-aminooctanoate*,,,95555.0,,
hydroxyasparagine**,CHEMBL63902,C03124,97663.0,,
perfluorooctanoate (PFOA),CHEMBL172988,,9554.0,,
glyco-beta-muricholate**,,,,,
3-formylindole,CHEMBL147741,C08493,10256.0,,
pyroglutamylalanine*,,,159907.0,,
pyroglutamylleucine*,,,,,
gamma-glutamylcitrulline*,,,,,
N4-acetylsulfamethoxazole*,CHEMBL3560298,"C13061,D01601",65280.0,,
glycine conjugate of C10H12O2*,,,,,
glycine conjugate of C10H14O2 (1)*,,,,,
glutamine conjugate of C7H12O2*,,,,,
glutamine conjugate of C6H10O2 (1)*,,,,,
glutamine conjugate of C6H10O2 (2)*,,,,,
tetradecadienoate (14:2)*,,,5312409.0,,
3-amino-2-piperidone,,,5200225.0,,
